YEAR,Result,Position,PLAYER_NAME,Team
2018,Second Team,C,Pau Gasol,Chicago Bulls
2018,Second Team,G,Russell Westbrook,Oklahoma City Thunder
2018,Second Team,G,Chris Paul,LA Clippers
2018,Third Team,F,Blake Griffin,LA Clippers
2018,Third Team,F,Tim Duncan,San Antonio Spurs
2018,Third Team,C,DeAndre Jordan,LA Clippers
2018,Third Team,G,Klay Thompson,Golden State Warriors
2018,Third Team,G,Kyrie Irving,Cleveland Cavaliers
2019,First Team,F,Giannis Antetokounmpo,Milwaukee Bucks
2019,First Team,F,Kawhi Leonard,LA Clippers
2019,First Team,C,Nikola Jokic,Denver Nuggets
2019,First Team,G,Stephen Curry,Golden State Warriors
2019,First Team,G,Luka Doncic,Dallas Mavericks
2019,Second Team,F,Julius Randle,New York Knicks
2019,Second Team,F,LeBron James,Los Angeles Lakers
2019,Second Team,C,Joel Embiid,Philadelphia 76ers
2019,Second Team,G,Chris Paul,Phoenix Suns
2019,Second Team,G,Damian Lillard,Portland Trail Blazers
2019,Third Team,F,Jimmy Butler,Miami Heat
2019,Third Team,F,Paul George,LA Clippers
2019,Third Team,C,Rudy Gobert,Utah Jazz
2019,Third Team,G,Bradley Beal,Washington Wizards
2019,Third Team,G,Kyrie Irving,Brooklyn Nets
2020,First Team,F,Giannis Antetokounmpo,Milwaukee Bucks
2020,First Team,F,LeBron James,Los Angeles Lakers
2020,First Team,C,Anthony Davis,Los Angeles Lakers
2020,First Team,G,James Harden,Houston Rockets
2020,First Team,G,Luka Doncic,Dallas Mavericks
2020,Second Team,F,Kawhi Leonard,LA Clippers
2020,Second Team,F,Pascal Siakam,Toronto Raptors
2020,Second Team,C,Nikola Jokic,Denver Nuggets
2020,Second Team,G,Damian Lillard,Portland Trail Blazers
2020,Second Team,G,Chris Paul,Oklahoma City Thunder
2020,Third Team,F,Jayson Tatum,Boston Celtics
2020,Third Team,F,Jimmy Butler,Miami Heat
2020,Third Team,C,Rudy Gobert,Utah Jazz
2020,Third Team,G,Ben Simmons,Philadelphia 76ers
2020,Third Team,G,Russell Westbrook,Houston Rockets
2021,First Team,F,Giannis Antetokounmpo,Milwaukee Bucks
2021,First Team,F,Kawhi Leonard,LA Clippers
2021,First Team,C,Nikola Jokic,Denver Nuggets
2021,First Team,G,Stephen Curry,Golden State Warriors
2021,First Team,G,Luka Doncic,Dallas Mavericks
2021,Second Team,F,Julius Randle,New York Knicks
2021,Second Team,F,LeBron James,Los Angeles Lakers
2021,Second Team,C,Joel Embiid,Philadelphia 76ers
2021,Second Team,G,Chris Paul,Phoenix Suns
2021,Second Team,G,Damian Lillard,Portland Trail Blazers
2021,Third Team,F,Jimmy Butler,Miami Heat
2021,Third Team,F,Paul George,LA Clippers
2021,Third Team,C,Rudy Gobert,Utah Jazz
2021,Third Team,G,Bradley Beal,Washington Wizards
2021,Third Team,G,Kyrie Irving,Brooklyn Nets
2022,First Team,F,Giannis Antetokounmpo,Milwaukee Bucks
2022,First Team,F,Jayson Tatum,Boston Celtics
2022,First Team,C,Joel Embiid,Philadelphia 76ers
2022,First Team,G,Shai Gilgeous-Alexander,Oklahoma City Thunder
2022,First Team,G,Luka Doncic,Dallas Mavericks
2022,Second Team,F,Jimmy Butler,Miami Heat
2022,Second Team,F,Jaylen Brown,Boston Celtics
2022,Second Team,C,Nikola Jokic,Denver Nuggets
2022,Second Team,G,Donovan Mitchell,Cleveland Cavaliers
2022,Second Team,G,Stephen Curry,Golden State Warriors
2022,Third Team,F,Julius Randle,New York Knicks
2022,Third Team,F,LeBron James,Los Angeles Lakers
2022,Third Team,C,Domantas Sabonis,Sacramento Kings
2022,Third Team,G,De’Aaron Fox,Sacramento Kings
2022,Third Team,G,Damian Lillard,Portland Trail Blazers
2023,First Team,F,Giannis Antetokounmpo,Milwaukee Bucks
2023,First Team,F,Jayson Tatum,Boston Celtics
2023,First Team,C,Nikola Jokic,Denver Nuggets
2023,First Team,G,Shai Gilgeous-Alexander,Oklahoma City Thunder
2023,First Team,G,Luka Doncic,Dallas Mavericks
2023,Second Team,F,Kawhi Leonard,LA Clippers
2023,Second Team,F,Kevin Durant,Phoenix Suns
2023,Second Team,C,Anthony Davis,Los Angeles Lakers
2023,Second Team,G,Anthony Edwards,Minnesota Timberwolves
2023,Second Team,G,Jalen Brunson,New York Knicks
2023,Third Team,F,LeBron James,Los Angeles Lakers
2023,Third Team,C,Domantas Sabonis,Sacramento Kings
2023,Third Team,G,Tyrese Haliburton,Indiana Pacers
2023,Third Team,G,Devin Booker,Phoenix Suns
2023,Third Team,G,Stephen Curry,Golden State Warriors
